Q,K1,K2,K3,K4,A
狂牛病の原因でもある、感染性を持つつタンパク質を何という ?,プリオン,ビリオン,スピロヘータ,ミアズマ,プリオン
次のうち、石碑の「ロゼッタストーン」には刻まれていなかった文字はとれ?,ギリシャ文字,デモティック,ヒエログリフ,トンパバ文字,トンパバ文字
次のうち、サッカーJリーグのチェアマンを務めたことがないのは誰 ?,大東和美,川淵三郎,佐々木則夫,外木昌,佐々木則夫
小説 『ダンス・ダンス・ダンス』や『スプートニクの恋人』を書いた作さち: 痢4,横溝正史,村上春樹,本馬遼太郎,百田尚樹,村上春樹
リハンガリー舞曲』や『大学税典序曲」を作曲したドイツの音楽家は上:壮4,サラサーテ,ビバルディ,ショパン,ブラームス,ブラームス
次のうち、「堆積震」に分類される岩石はどれ ?   -,石岩,安山岩,玄武岩,化こう岩,石岩
数学で使われる、ユニタリ、エルミ類 ?,行列,集合,関数,数列,行列
江口寿史の漫画 『すすめ!!パイレーツ』はどんなスポーツの世界が舞王 ?,テニス,ゴルフ,野球,サッカー,野球
EE:ゴち12に1 GEにの1年は何日 ?,356日,357日,354日,355日,354日
テレビ番組『フリースタイルダンジ=ン』で進行を担当していたヒップホップミュージシャンは誰 ?,呂布カルマ,サイプレス上野,般若,DOTAMA,サイプレス上野
Jリーグの初代得点王は誰?,ラモン・ディアス,アルシンド,ウーゴ・マラドーナ,三浦知良,ラモン・ディアス
京浜工業地帯を走るJR鶴見線にある浅野駅・安番駅・大川駅の駅名は、すべて何に由来する ?,企業家の名前,専門学校の名前,連河の名前,会叶の名前,企業家の名前
映画「UDON」に登場した、香川県出身の女子アナは?,高島彩,西山喜久恵,中野美奈子,生井理央,中野美奈子
安部真弘の漫画 『あつまれ! ふしき究部』で、登場人物の1人・鐘が持つ人形の名前は何 ?,竹子,桜子,梅子,松子,松子
夏目激石の小説 !門』で、この「門」がある鎌倉の寺はどこ ?,浄智寺,寿福寺,円覚寺,建長寺,円覚寺
ワウひまっ仁還=レのpmE525 とANは、東北楽天ゴールデンイーグルスにしか在籍したことがないのは誰?,トッド・リンデン,ホセ・フェルナンデス,ケビン・ウィット,アンディ・フィリップス,トッド・リンデン
次のサッカーに関係するもののうち長さが最も長いものは?,センターサークルの上直径,ボールの直径,ゴールの幅,ゴールの高さ,センターサークルの上直径
次の金属元素のうち、「アルニコ磁石」の名前の由来となっていないものはとれ?,ニッケル,アルミニウム,コバルト,ルテニウム,ルテニウム
次の音楽ゲームのうち、発売されたのが最も早かった作品はどれ2?,maimal,太鼓の達人,Dance Evolution,beatmania,beatmania
次のうち、植物の「師管」の説明としてもっともふさわしいのはどれ2?,おもに空気を通す,おもに光を通す,おもに水を通す,おもに養分を通す,おもに養分を通す
競馬の万馬券とは、的中した馬券の配当が何倍以上になること ?,100倍,10倍,1000倍,10000倍,100倍
月面からのエネルギーを受けて稼働させるシステムを用いた、ガンダムXに搭載されている兵器は何 ?,月光蝶,シャイニングフィンガー,バスターライフル,サテライトキャノン,サテライトキャノン
次のうち、国内のサッカー1部リージシメのとイッの電アアにあ4リにコン 且rdた(ないのはとれ?,スコットランド,ポボポルトガル,ロンア,イングランド,ポボポルトガル
次のうち、「源氏物語」の巻名にな5の】ち2ル用     ーーー,葵,宣,光,」,光
了日本農林規格」に適合した食品に付けられるマークを、アルファベット三文字で何マークという?,JESマーク,JISマーク,JOSマーク,JASマーク,JASマーク
「小銃」とも呼ばれる、弾が回転し長距離でもより正確に撃つことがでさる久といえば何 ?,マシンガン,迫撃砲,ライフル,ショットガン,ライフル
1964年開催の東京オリンピックのポスターを制作した人物は?,田中一光,三宅一生,横尾忠則,亀依雄乏,亀依雄乏
イーグルスの曲で最初にビルボードチャート一位になった申は?,ならず者,我が愛の至上,呪われた夜,ホテルカリフォルニア,我が愛の至上
世界で初めてノーベル賞を2度受賞した人物は誰?,キュリー夫人,アインシュタイン,チャーチル,レントゲン,キュリー夫人
川端志季の漫画『世界で一番早い春』の主人公・晴田真帆の職業は何?,漫画家,作曲家,映画監督,小説家,漫画家
「胃腸のホウキ」と呼ばれる野茶は次のうちどれ?   「,キャベツ,フキ,ホウレン草,春多,ホウレン草
EK1074三クジクンスンダレクル: 敵すた,マイガール,Monster,Troublemaker,Believe,Monster
漫画「コータローまかりとおるを書いた編島県出身の漫画家は誰?,藤田和日郎,時田達也,藤沢とおる,寺沢武一,時田達也
タバコ、トマト、ジャガイモといえば何科の植物 ?,ナス科,ユリ科,バラ科,アブラナ科,ナス科
参加国が初めて100を越えたオリンピックは何大会?,ロサンゼルス大会,ソウル大会,メキシコ大会,モスクワ大会,メキシコ大会
ドラマ「湾岸署婦警物語 初夏の交通安全スペシャル」の主人公「篠原夏美」を演じた女優は誰?,内田有紀,松雪泰子,常敵貴子,篠原涼子,内田有紀
1961年にガガーリンが人類初の宇宙飛行を行ったとき、搭乗していた宇宙船は何?,ルナ1号,スプートニク1号,サリュート1号,ボストーク1号,ボストーク1号
月が満ち欠けを繰り返すのはなせ ?,地球が自転しているから,月が公転しているから,地球が公転しているから,月が自転しているから,月が公転しているから
小説『怒りの六世』や『エデンの東』を書いたアメリカの作家は誰 ?,スタインベック,オー・ヘへヘンリー,サリンジャー,ダニエル・キイス,スタインベック
大河川の河口部が沈水して生じた三角形の入江のことを何という?,エスチュアリー,渓谷,砂叶,ラグーン,エスチュアリー
Jリーグ、京都パープルサンガに所属したことがある選手は?,中田英寿,中澤佑二,三浦知良,中村俊博,三浦知良
うすた京介の漫画『武土沢〇〇〇つ』。〇OO〇は何?,トス,アタック,サーブ,レシーブ,レシーブ
T一眼レフカメラ」の「レフ」は、何という言葉の略 ?    」,レフォード,レフレックス,レファレンス,レフェリー,レフレックス
次の動物のうち 「!世界三大珍獣」に稿まれないのは2?,コビトカバ,ジャイアントパンダ,カモノハンシ,オカピビ,カモノハンシ
>人iア2 んやジスのがゴコリエッ4たすまの記。,14本,28本,7本,21本,14本
カーリングを統括する国際団体、WCF・世界カーリング連盟の本部がはるスコットランドの都市はどこ ?,メルボルン,パース,ダーウィン,シドニー,パース
次のうち、実際には存在しない化合物はどれ?    「,C2H4,C2H2,C2H6,C2H6,C2H6
jpまっ8導たっ:の Ey/DAkYcSTひ】たすずれ 2?,鉛,金,銀,日金,鉛
IPににゴクニレマル[ひだる人MgAシ2も集めるともらえたものは何?,宝くじ,たばこ,手ぬぐい,殺筆,たばこ
オグリキャップ、オグリローマンの母は?,ホワイトナルビー,ブルーサンダー,イエローキャップ,レッドバロン,ホワイトナルビー
「ハーバード大学」はアメリカ合衆国マサチューセッツ州のどこの都市にある?,ケンブリッジ,チェルシー,スプリングフィールド,ボストン,ケンブリッジ
次のうち、かつて武蔵川部屋に所属していた力士は誰 ?,ネパール出身の高井山,"マレーン
シア出身の熱帯国",トンガ出身の南乃島,フィンランド出身の北国,トンガ出身の南乃島
中学生・野村美十が主人公のTVアニメのタイトルは、次のうちどれ?,VIOLIN,PIANO,GUITAR,FLUTE,PIANO
ニュース番組『スーパーJチャンネル」』を制作・放送しているテレビ局はとどこ?,フジテレビ,TBS,テレビ朝日,日本テレビ,テレビ朝日
「国家繁栄維持法」 という法律が登Pigii【のdEIち円7,ソフニン,イキガミ,マイナス,クロサギ,イキガミ
洛語家「4代目桂塩鯛」の前名は何?,桂斗入,桂登丸,桂戸丸,桂都丸,桂都丸
「ボールを持って4歩以上動く」という、ハンドボールの反則は何 2,トラベリング,オーバーステップ,ジャッグル,ホールディング,オーバーステップ
次の山手線の駅のうち、「鉄腕アトム」のテーマガが発車メロディ に使われる駅は?,高田馬場,大崎,秋葉原,恵比寿,高田馬場
のああ.るの あっ06ににゴニ2Dも早いのはどれ2?     ーー,宇宙戦艦ヤマト,一休さん,銀河鉄道999,機動戦士ガンダム,宇宙戦艦ヤマト
牛川人が発見されたのはどこ?,静岡県,兵庫県,愛知県,栃木県,愛知県
トラのオスとライオンのメスの交配による混血種を何という?,トライオン,タイゴン,タイオン,ライガー,タイゴン
次の漫画のうち、三田紀房の作品でにないのはどれ?      「,ドラゴン桜,アルキメデスの大戦,攻殻機動際,インベスターZ,攻殻機動際
次のうち、科学者のパスツールが実験に使用した、有名なフラスコはどれ?,雀の省フラスコ,日島の省フラスコ,鳩の和省フラスコ,鶴の箇フラスコ,日島の省フラスコ
バイオリンで、最も高い音を出す第一弦を何という?,A線,E線,G線,D線,E線
