「エンペラーペンギン」とも呼ばれる、世界最大のペンギンは何 ?,ダイミョウペンギン,ロウニンペンギン,ショウグンペンギン,コウテイペンギン,コウテイペンギン
一般的に、「喪服」の生地の色は何色 ?,緑,"許
月",赤,県,県
次のうち、鳥の種類にあるのはどれ 2?,ドロボウ,サギ,ゴウトウ,ユスリ,サギ
1941年12月8日に日本海軍により行われた、太卒洋戦争における有名なうり4たる円4,再期湾攻撃,日金浴攻撃,水晶湾攻撃,真珠湾攻撃,真珠湾攻撃
女優の森光子の代表作としても知られる、林美美子の小説を原作とした舞台は何 ?,放浪記,うず潮,めし,浮寺,放浪記
お湯を注ぐだけで飲むことのできるコーヒーを「〇〇〇コーヒー」 という。〇〇〇は何 ?,インストラクター,インスタレーション,インスタント,インストール,インスタント
ユニフォームのデザインにちなんで「カナリア軍団」と呼ばれるのは、どこの国のサッカー代表 ?,ブラジル,ドイツ,イングランド,アルゼンチン,ブラジル
漫画「ワンピース」で主人公ルフィが被っつているものは?,カンカン帽,ベレー帽,友式帽子,カウボーイハット,友式帽子
テニスで、 「サービスエース」ができるのは、次のうちどの人2?,観客,レシーバー,サーバー,番者,サーバー
次のうち、虫の「クモ」の一種はどれ 2?,イワシグモ,ジョロウグモ,ウロコグモ,ヒツジグモ,ジョロウグモ
次のうち、公にしていなかった自分の秘密などを告白することを意味する言葉はどれ ?,ホワイトアウト,シャットアウト,チェックアウト,カミングアウト,カミングアウト
お笑いトリオ、パンサーのメンバーといえばはば、尾形資弘、営良太郎と上:壮4,秋山竜次,向井六,原田泰造,上島竜兵,向井六
タイムトラベルをテーマにした有名な映画『バック・トゥ・ザ・〇〇〇つ』。〇のの〇の〇は何 ?,エンド,フューチャー,パスト,ナウ,フューチャー
アニメ「フランダースの犬』で、主人公・ネロの牛乳運びの手伝いをする犬の名前は何 ?,パトラッシュ,ハンスズ,ヨーゼフ,ジェハン,パトラッシュ
次の競技のうち、1人が行う種目数が最も多いものはどれ2?2,十種競技,七種競技,近代五種,バイアスロン,十種競技
「ドタキャン」の「キャン」は、何という言葉の略 ?    」  「,キャンパス,キャンペーン,キャンセル,キャンデイィ,キャンセル
次の野球のポジションのうち、ふつうホームベースに最も近い場所にいとの】ちずり,外野手,内野手,投手,捕手,捕手
突然、腰が痛むことを何という 2?,きぎっくり腰,どっさり腰,しっくり腰,ざさっくり腰,きぎっくり腰
ボウリングの1フレームの投球数。最も少ない場合は何投2?,5投,1投,8投,3投,1投
次のうち、過っている様子を表している言葉はどれ ?,ぐっすり,どっしり,ずっしり,こっそり,ぐっすり
次のうち、野球を題材にした漫画はとれ ?           「,江川と西本,岡崎に捧ぐ,県庁の星,非婚家族,江川と西本
美術大学に通う学生たちの恋模様を描いた、2選海野チカの代表作は『ハチミツと「何」』 ?,ハート,ダイヤモンド,スペード,クローバー,クローバー
章話『人魚姫』で、人魚姫が魔女に和則【E23レ光二全3925pす/c/21 に)たものは何 ?,富力,ーーリー,聴力,胡,ーーリー
セミの抜け殻は、普通、次のうちどんな色をしている ?,黒色,緑色,余色,ねずみ色,余色
体長40mm前後で、透き通ったピンク色をしたエビの一種は、次のうちどれ?,モモエビ,アネモネエビ,サクラエビピ,コスモスエビ,サクラエビピ
「石原軍団」と呼ばれる俳優集団が所属した芸能事務所「石原プロモーション」を設立した俳優は誰 ?,石原良純,石原夏織,石原さとみ,石原裕次郎,石原裕次郎
唱歌『茶摘み』の歌い出しの、「夏も近づく〇O〇OO〇」。〇〇〇に入る時期はいつ ?,十月十日,一朝一,八十夜,二百十日,八十夜
「嘘をつくとこの人に舌を抜かれる」といわれる、地獄の王様は誰?,えんま,べんざいてん,あしゅら,たいしゃくてん,えんま
アラビア邊島の北西部にある、塩分濃度が非常に高いことで知られる湖は何 ?,黒海,紅海,死海,北海,死海
大場つぐみ、小畑健の漫画!バクマン。』の主人公が目指した職業は回角,俳優,漫画家,F1レーサー,ミュユージンシャン,漫画家
次のうち、きゃりーばみゅばみゅのヒット曲はどれ3?,つけまつける,つけめつける,つけばつける,つけけげけつける,つけまつける
和歌などを書くのに使われて盛んに用いられるようになったひらがなは、どこの国の文字 ?,ベトナム,中国,韓国,日本,日本
次のスポーツのうち、使われるボールが最も小さいのはどれ ?,卓球,バスケットボール,テニス,野球,卓球
スタジオジブリのアニメ映画で、ムスカという人物が登場するのは何 ?,紅の豚,魔女の宅急便,天空の城ラピュタ,千と千尋の紳隠し,天空の城ラピュタ
「天象儀」とも呼ばれる、光をドームに映し出すことで星座などを表現する設備は何 ?,プラネタリウム,テラリウム,アクアリウム,ナトリウム,プラネタリウム
次のうち、「インターンシップ」を日本語に言言い換えた言葉はどれフ,精紳衛生,就業体験,説明責任,技術革新,就業体験
ナポレオン1世が、エルバ島を脱出してからワーテルローの戦いで敗れるまでの約3ヶ月を何という ?,十日天下,白日天下,千日天下,万日大,白日天下
次のうち、サッカーで、フォワードなど攻撃的なポジションを指す言葉はとどれ?,前線,前略,前頭,前胡,前線
近代オリンピックにおいて、競技で]位になった選手に与えられるメダルは何 ?,銀メダル,白金メダル,金メダル,鉛メダル,金メダル
次のうち、円周率を表す記号はどれ ?            「,>,①D,9,Tt,Tt
劇場やテレビ局に備えられている、出演者の控室のことを何という ?,楽屋,怒屋,哀屋,喜屋,楽屋
ロシアでは「ガフガフ」、日本では「ワンワン」と表現するのは、どんな動物の鳴き声 ?,ヒツジ,ウマ,ネコ,イヌ,イヌ
「飛びます、飛びます」のギャグで知られた往年のコメディアンは誰 ?,植木等,横山エンタツ,志村けん,坂上二郎,坂上二郎
野球で、「先制2ラン」や「逆転3ラン」といえば、どんなプレーのこと?,ホームラン,資塁,三振,エフラー,ホームラン
国民の邊日で、「山の日」があるのは8月ですが、「海の日」があるのは何月 ?,1月,5月,4月,7月,7月
「パラボラアンテナ」の「パラボラ」とはどんな線?2,征直線,放物線,直線,線分,放物線
漫画『名探偵コナン』の主人公・コナンの名字は何2,多摩川,江戸川,隅田川,荒川,江戸川
日本のテレビ局「NHK」は何という言葉の略 ?       ーー,日本法人協会,日本変態協会,日本引きこもり協会,日本放送協会,日本放送協会
次のうち、「ひな祭り」を行う節句はどれ ?      間,桜の節句,桃の節句,椿の節句,松の節句,桃の節句
次のうち、口腔内や歯の手入れを指す言葉はどれ?,スカルプケア,スキンケア,テンタルケア,ネイルケア,テンタルケア
アニメ 『宇宙戦艦ヤマト』で、ヤマトはどこを目指して宇宙航海の旅に出た ?,イスカンダル,アルテナ,コレリア,へビーメルダー,イスカンダル
屋根などの素材として使われる、鉄に亜鉛をメッキしたものを何という?,ガクン,トタン,ポトン,コテン,トタン
"洋服の生地に用いられる木綿のことを英語
語で何という ?",パットン,リットン,サットン,コットン,コットン
清少納言の『枕草子』の有名な一節「つはあけほぼの」。〇に入る季節はいつ ?,冬,春,秋,夏,春
陸上競技の短距離癌走で、しゃがんだ状態からスタートする方式を何という ?,ビピッチングスタート,ブリーチングスタート,ウォッチングスタート,クラウチングスタート,クラウチングスタート
独特の低い声でおなじみの、お笑いコンビ・能瞳のメンバーといえば上:壮4,川島明,田中直樹,小木博明,,川島明
国家の領域」を構成する3つの区域とは、領土、領海と、あと1つはどれ?,信空,排他的経済水域,経済水域,公海,信空
章謡 『いとまきのうた』の1番の歌詞で、「ひいてひいて」に続く言葉は何 ?,ポンポンポン,リンリンリン,トントントン,コンコンコン,トントントン
「テニサー」といえば、どんなスポーツのサークル ?,サッカー,テニス,バドミントン,野球,テニス
バーモントカレーのTVCMに出演し、「ヒデキ、感激」のフレーズで知名度を高めたのは誰 ?,本郷輝彦,卿ひろみ,西城秀樹,沢田研二,西城秀樹
早春に野原に生えるスギナの胞子茎のことを一般に何という ?  「,つくば,つくし,つくえ,つくも,つくし
次のうち、ジブリ映画『となりのトトロ』に登場する人物は誰 ?,湯婆婆,トンボ,ポニョ,卓壁メイ,卓壁メイ
マーガリンは、次のうち、何の代用品として生まれた食品?,チーズ,ジャム,バター,生クリーム,バター
次の井上雄彦の漫画のうち、描かれている時代が最も古い作品はどれ 2?,BUZZER BEAITER,リアル,SLAM DUNK,バガボンド,バガボンド
