Q,Category,K1,K2,K3,K4,A
野球で、バットを振って3ストライクを取られたものを 「何の三振」 という ?,スポーツ,無茶振りの三振,素振りの三振,空振りの三振,大振りの三振,空振りの三振
キャスターとして活躍する中西哲生や永島昭浩といえば、かつてどんなスポーツのプロ選手だった ?,芸能,テニス,ゴルフ,サッカー,ボクシング,サッカー
サッカーJリーグの「G大阪」。Gって何の略 ?             」,スポーツ,ゴッド,グッド,ゲスト,ガンバ,ガンバ
0ジュンルエニヒゴ に コンリピ9んもてこが6テコレーションしたケーキ「COCOケーキ」。〇〇〇は何 ?,雑学,ショート,セカンド,サード,ファースト,ショート
アルファベット3文字で「CKB」と略記されるロックバンドは何?,芸能,サザンオールスターズ,クレイジーケンバンド,Mrchildren,クレイジーキャッツ,クレイジーケンバンド
クジラが水面で息継ぎをする時に噴くものといえば、次のうちどれ ?,理系,塩,潮,炎,晶,潮
_ 調味料の「七味〇〇〇」や「一味〇II認1⑨!⑨(⑨)とく口性,雑学,とうがらし,こしょう,わさび,みよょようが,とうがらし
さいとう・たかをの漫画『雲盗り暫在』は、何時代を舞台にした作品 ?,アニメゲーム,邊安時代,大正時代,明治時代,江戸時代,江戸時代
往年の漫才師・横山やすしのおなじみのネタ。身に着けていた何を探すというもの ?,芸能,時計,かつら,メガネ,ネクタイ,メガネ
毎年7月に京都の八坂紳往で行われる祭り「〇〇祭り」。〇〇に入る言葉は何 ?,文系,表眼,里酸,"疑念
N",太園,表眼
"い      \あ
情」などの種類が:
「生命」「感情」なる、手相でみる手のひらの筋を何という ?",雑学,線,縁,棒,絆,線
宝石の一種「ターコイズ」のことを、ある国名を使って何という ?,理系,トルコ石,シリア石,ギリシャ石,イラク石,トルコ石
アニメ『おねがいマイメロディ』に登場するマイメロディがかぶる頭巾。色は何色 ?,アニメゲーム,オレンジ,イエロー,ブラウン,ビピンク,ブラウン
宇都宮市と浜松市が年間治費量1位の座を争っている食べ物といえば回角,雑学,フーメン,息頭,欧子,みかん,欧子
"作家のゲーテが死の間際に残した言葉「Mehr Licht!」。 日本語ではどのような意味 ?
W
にあこ  ゃ",文系,もっと音を !,もっと水を!,もっと風を!,もっと光を !,もっと光を !
IPI20にゴクME了yoとで、主人公のトム・リプレーを演じたフランスの俳優は誰 ?,芸能,アラン・ドロン,アラン・プロスト,アラン・シェパード,アラン・ポー,アラン・ドロン
ドラマ『ラブ・レボリューションや『ショムニ』に主演した女優は上:壮4,芸能,仲間由紀恵,松嶋茶々子,江角マキコ,鋭月ありさ,江角マキコ
"「サイドチェスト」などのボーズで、鍛え上げた筋肉の発達度などを如い合う競技
といえば何 ?",スポーツ,カーリング,ハイアラフイ,カポエイラ,ボディビル,ボディビル
ボクシングで、審剤が、試合続行不可能と重断して試合を終わらせることを何という ?,スポーツ,ジュリーストップ,アンパイアストップ,レフェエリーストップ,ジャッジストップ,レフェエリーストップ
通常よりも小さいいコーヒーカップ「〇OO〇OO〇O〇カップ」。〇〇〇〇は回角,雑学,ママダス,デミタス,カンタス,イミダス,デミタス
日本にキリスト教を伝えた宣教師は誰?,文系,バリニャーノ,ザビエル,フロイス,ロヨラフ,ザビエル
ゲーム『ストリートファイター』シリーズに登場するハン・ジュリは、2導ゆ】E【ひアッ,アニメゲーム,オーストラリア,アメリカ,韓国,エジプト,韓国
次の漫画のキャラクターのうち、最も年上であるのは誰 2,アニメゲーム,毛利小五郎,ちびまる子ちゃん,クレヨンしんちゃん,のひびひ太,毛利小五郎
世界最高峰のエベレストは、チベットでは何とよばれている2?,文系,チヨョモランマ,トウゥマウンテン,マントーキン,モンブラン,チヨョモランマ
タレント・北斗晶の公式ブログ「そこのけそこのけ〇〇が通る」。〇〇に入る言葉は何 ?,芸能,,美魔女,鬼嫁,姫君,鬼嫁
往年の名選手、ベーブ・ルースといえば、どんなスポーツで活躍した選手?,スポーツ,野球,ボクシング,テニス,アメリカンフフットボール,アメリカンフフットボール
主に宝石の重さを測る際に用いられる、0.2gを1とする重さの単位は回角,理系,スカット,ペリット,タラット,カラット,カラット
次のうち、「オリンピック」を表す言葉はどれ ?      」,スポーツ,三輪,四輪,五輪,導輸,五輪
ある魚介類に米を詰めて炊き上げた、北海道森町発和締のグルメは何 ?2,雑学,ほたて飯,いか人,こんぶ飯,さけ飯,いか人
ジョージやサトルなどの人形とともに「ボイス・イリュージョン」を見せる、腹話術師は誰 ?,芸能,ニコライ堂,一風掌,いっこく堂,金色宇,いっこく堂
「ヒートアイランド現象」といえば、どんなことがらに関する現象 ?2,理系,放射性物質の分布,海底の火山活動,都市部の気温,島内部の生物相,都市部の気温
明治天皇が崩御した1912年に始まった、日本の元号は何 2,文系,大正,小林,大塚,エスエス,大正
クレモン、スマーボ、ルンバといえば、いずれもどんな家事をするためのロボット 2,雑学,料理,洗準,掃除,アイロンがけ,掃除
ゴルフで、コース内の障害物として作られた砂でできたくほ地を何という?,スポーツ,フェアワウェイ,バンカー,グリーン,フフ,バンカー
鳴門海峡のものが有名な、うずを巻く潮の流れを何という ?,理系,親潮,満潮,渦潮,,渦潮
次のゲームのうち、RPGではないものはどれ2?,アニメゲーム,ぶよぶよテトリス,ゼノブレイド,ファンタジーライフ,ドラゴンクエストX,ぶよぶよテトリス
柔道の技名で、製婆、上四方、横四方などの後ろに共通してつく言葉は回角,スポーツ,固め,払い,送り,投げ,固め
わらべ歌『かごめかごめ』の歌詞で、「かごめかごめ」に続く言葉は回角,芸能,かごの中の犬は,かごの中の鳥は,かごの中の中は,かごの中の猫は,かごの中の鳥は
織田信長の性格を表した言葉「鳴かぬなら〇〇〇ほととぎす」。〇〇〇は何 ?,文系,逃がしてしまえ,殺してしまえ,鳴くまで待とう,鳴かせてみよう,殺してしまえ
2016年に『3つの里の大切な友だち』という作品が発売されたゲームンリーズは何 ?,アニメゲーム,ドラゴンクエスト,牧場物語,女紳転生,ファイナルファンタジー,牧場物語
バッハ、ベートーベン、ブラームスといえば、どこの国の作曲家 ?,芸能,ドイツ,イタリア,アメリカ,フフンス,ドイツ
ウ4のたJE【ひのpまっ6還に衝0にブスた39/1『るのはどれ?,アニメゲーム,食幸のソーマ,クッキングパパ,ワカコ酒,ラーメン大好き小泉さん,クッキングパパ
次のうち、言葉の発音の高低・強弱や、話し方の調子を意味する言葉はとれ?,文系,パーセント,クレセント,アクセント,コンセント,アクセント
アニメ『おねがいマイメロディ』に登場するマイメロディがかぶる頭巾。色は何色 ?,アニメゲーム,ビピンク,イエロー,オレンジ,ブラウン,ビピンク
相撲において、本場所の8日目のことを何という?,スポーツ,中日,巨人,阪旭,楽天,中日
茶色の斑点を何という ?2,理系,だんごかす,こはんかす,うどんかす,そばかす,そばかす
次のうち、砂糖の中でも、一粒一粒が大きい砂糖を指す言葉はどれ?,雑学,ザラメ,ヒラメ,アマメ,カラメ,ザラメ
ことわざ「弘法にも筆の誤り」の「弘法」が指す僧介は誰2,文系,最海,道元,親牧,空海,空海
映画『七人の侍』を手がけた、日本を代表する映画監督は誰 ?,芸能,深作座二,小津安二郎,黒洋明,木下患介,黒洋明
脇の下に塗ったり吹きかけて使う、汗を抑えるための薬剤を何という?,理系,圧汁剤,禁汗剤,洗顔フォーム,制汗剤,制汗剤
2018年に「ゼロの執行人」という劇}版の作品が公開されたアニメは何 ?,アニメゲーム,妖怪ウォッチ,逆転裁独,ポケットモンスター,名探偵コナン,名探偵コナン
その化石は示準化石として重要富されている、 古生代に生息した生物は回角,理系,九葉虫,導葉申,十二葉申,三葉虫,三葉虫
刺身を中国語で書くとどれ?,文系,餃子,麻姿豆腐,提球,生魚片,生魚片
B級グルメ「冨士宮やきそば」といえば何県の名物料理 ?,雑学,静岡県,石川県,山梨県,宇山県,静岡県
普通、「忘年会」が行われるのは、次のうちどの時期?_,雑学,春休み,年末,お彼岸,お名,年末
「おまえのものはおれのもの、おれのものもおれのもの」とは、 漫画「ドラえもん』の誰のセリフ 2?,アニメゲーム,ジャイアン,スネ夫,しずかちゃん,のひびひ太,ジャイアン
映画 !ハリー・ポボポッター」』シリーズで、ハーマイオニーを演じた女優は上:壮4,芸能,エマ・ワトソン,エマ・アドラー,エマ・モリアーティ,エマ・ホームズ,エマ・ワトソン
小栗旬と石原さとみが主演した、フジテレビのドラマは『リッチマン、〇つ〇〇』。 のの〇は ?,芸能,プアウーマン,サラリーマン,ウルトラマン,ガードマン,プアウーマン
"漫画 !まじかる吉タルるーートくんに登場す
と|
本丸」の名字
は何2",アニメゲーム,伏見城,江戸城,大阪城,青葉城,江戸城
スポーツ漫画「キャプテン細」で題材となるスポーツは何?  」,スポーツ,プロレス,野球,サッカー,バスケットボール,サッカー
